,itr,sigma,Fusion_M,Fusion_R
0,0.0,0.0,0.963,0.9269269269269269
1,0.0,0.05,0.915,0.8418418418418419
2,0.0,0.1,0.939,0.8808808808808809
3,0.0,0.15000000000000002,0.909,0.8308308308308309
4,0.0,0.2,0.918,0.8448448448448449
5,0.0,0.25,0.838,0.7087087087087087
6,0.0,0.30000000000000004,0.848,0.7307307307307307
7,0.0,0.35000000000000003,0.806,0.6696696696696697
8,0.0,0.4,0.791,0.6466466466466466
9,0.0,0.45,0.725,0.5545545545545546
10,0.0,0.5,0.672,0.46646646646646645
11,0.0,0.55,0.586,0.4004004004004004
12,0.0,0.6000000000000001,0.523,0.3233233233233233
13,0.0,0.65,0.412,0.26326326326326327
14,0.0,0.7000000000000001,0.406,0.26426426426426425
15,0.0,0.75,0.336,0.2172172172172172
16,0.0,0.8,0.305,0.1931931931931932
17,0.0,0.8500000000000001,0.248,0.12012012012012012
18,0.0,0.9,0.306,0.21121121121121122
19,0.0,0.9500000000000001,0.326,0.2022022022022022
20,0.0,1.0,0.278,0.16516516516516516
21,1.0,0.0,0.929,0.8628628628628628
22,1.0,0.05,0.966,0.934934934934935
23,1.0,0.1,0.924,0.8538538538538538
24,1.0,0.15000000000000002,0.89,0.7977977977977978
25,1.0,0.2,0.885,0.7857857857857858
26,1.0,0.25,0.8,0.6646646646646647
27,1.0,0.30000000000000004,0.788,0.6366366366366366
28,1.0,0.35000000000000003,0.815,0.6756756756756757
29,1.0,0.4,0.71,0.5295295295295295
30,1.0,0.45,0.701,0.5325325325325325
31,1.0,0.5,0.717,0.5435435435435435
32,1.0,0.55,0.674,0.4854854854854855
33,1.0,0.6000000000000001,0.456,0.27427427427427425
34,1.0,0.65,0.439,0.2772772772772773
35,1.0,0.7000000000000001,0.346,0.23823823823823823
36,1.0,0.75,0.372,0.22322322322322322
37,1.0,0.8,0.323,0.2092092092092092
38,1.0,0.8500000000000001,0.278,0.1881881881881882
39,1.0,0.9,0.323,0.2032032032032032
40,1.0,0.9500000000000001,0.284,0.13013013013013014
41,1.0,1.0,0.327,0.2072072072072072
42,2.0,0.0,0.949,0.8988988988988988
43,2.0,0.05,0.926,0.8608608608608609
44,2.0,0.1,0.895,0.8058058058058059
